Case Id;Title;Date;Priority;Planned duration (minutes);Test Areas;Average Duration;Tags;Objective;Test Data;Preconditions & Assumptions
new;Run rest api input;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Run command input;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Run modular input;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Modular input commented code;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Multiple events support for custom modinput;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;"<p>Create a project</p>";"Dummy result"
"";new;"<p>Create a customized modular input</p>";"Dummy result"
"";new;"<p>Go to the coding page, edit the code, make sure the modular input returns 3 events when it runs for one time</p>";"Dummy result"
"";new;"<p>Test the code</p>";"Dummy result"
new;Try run code terminate;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Change setup info page;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;"Create a setup page in add-on";"Dummy result"
"";new;"Restart and open the add-on setup page";"Dummy result"
"";new;"Open add-on in builder. Change the setup info by add more variables.";"Dummy result"
"";new;"Restart and open the add-on setup page";"Dummy result"
new;Delete rest api input;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Delete command input;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Delete custome modular input;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Check page navigation;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Use modular input variables to configure;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Check addon bin folder without modinput;2016-07-18;0;;"";0;ConfigureDataCollection;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Create sourcetype;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Create existing sourcetype;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Import sourcetype;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
